Timestamp,What's your gender? ,What's your age? ,What's your field of study?,What's your current academic year? ,GPA in last semester,1. I do not do assignments until just before they are to be handed in.,"2. I continually say ""I'll do this task tomorrow"".",3. Procrastination on a task affects my scores of that task., 4. I procrastinate because the task is difficult for me.  ,5. Finishing academic tasks before last minutes of deadlines gives me a lot pressures.  ,6. I cannot control shifting attention to other more pleasurable activities when working on academic task.   ,7. I feel guilty about my procrastinations on academic tasks.,8. I am not motivated to do academic tasks.  ,9. I can receive better grade if I started earlier on academic tasks.  ,10. I am afraid of the consequences of procrastinating  academic tasks.
4/16/2026 18:28:42,Female,21-23,Computer Science / IT,2nd Year,2.5–3.0,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree
4/16/2026 18:30:14,Female,18-20,Computer Science / IT,2nd Year,3.5- 4.0,Disagree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree
4/16/2026 18:35:21,Male,21-23,Computer Science / IT,2nd Year,2.5–3.0,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly disagree
4/16/2026 18:44:35,Female,21-23,Computer Science / IT,2nd Year,3.5- 4.0,Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree
4/16/2026 18:47:01,Female,21-23,Computer Science / IT,2nd Year,3.0–3.5,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral
4/16/2026 18:47:25,Female,24-26,Medical / Biology,5th Year,3.0–3.5,Strongly agree,Strongly Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Agree
4/16/2026 19:07:53,Male,under 18,Computer Science / IT,1st Year,3.0–3.5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
4/16/2026 19:13:02,Female,18-20,Computer Science / IT,2nd Year,3.5- 4.0,Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Agree,Neutral
4/16/2026 21:07:26,Male,18-20,Engineering,2nd Year,3.5- 4.0,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree
4/16/2026 21:37:34,Female,21-23,Software Engineering ,4th Year,3.5- 4.0,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral
4/18/2026 16:16:00,Male,24-26,Computer Science / IT,5th Year,3.0–3.5,Strongly agree,Strongly Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
4/19/2026 0:19:16,Male,21-23,Computer Science / IT,3rd Year,Below 2.5,Strongly agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
4/19/2026 0:24:10,Male,21-23,Computer Science / IT,3rd Year,Below 2.5,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree
